dataset,breed_group,primary_breed,bite_code,bite_severity,gender,age,average height,average_weight
ny,PIT BULL,Pit Bull,,,,,,
ny,MIX,Mixed/Other,,,M,4,,
ny,PIT BULL,Pit Bull,,,,,,
ny,BASENJI,BASENJI,,,M,4,,
ny,PIT BULL,Pit Bull,,,,,,
ny,PIT BULL,American Pit Bull Mix / Pit Bull Mix,,,M,5,,
ny,MIX,MIXED,,,F,3,,
ny,MIX,Yorkshire Terrier Crossbreed,,,N,7,,
ny,GREAT DANE,Great Dane,,,S,6,,
ny,PIT BULL,Pit Bull,,,,,,
ny,MIX,Labradoodle,,,S,5,,
ny,UNKNOWN,ZUCHON,,,M,4,,
ny,PIT BULL,American Pit Bull Terrier/Pit Bull,,,,,,
ny,MIX,MIXED,,,M,7,,
ny,PIT BULL,American Pit Bull Terrier/Pit Bull,,,,,,
ny,POODLE MIN,"Poodle, Miniature",,,N,8,,
ny,PIT BULL,American Pit Bull Terrier/Pit Bull,,,S,11,,
ny,PEKINGESE,Pekingese,,,N,3,,
ny,MIX,POODLE X,,,N,13,,
ny,MIX,Labrador Retriever Crossbreed,,,N,11,,
ny,PIT BULL,American Pit Bull Terrier/Pit Bull,,,S,2,,
ny,DACHSHUND,Dachshund Smooth Coat,,,M,2,,
ny,PIT BULL,Pit Bull,,,,,,
ny,MIX,MIXED,,,F,,,
ny,MIX,MIXED,,,F,,,
ny,CHIHUAHUA,Chihuahua,,,M,4,,
ny,PIT BULL,Pit Bull,,,,,,
ny,YORKSHIRE TERR,Yorkshire Terrier,,,,,,
ny,SHIH TZU,Shih Tzu,,,,,,
ny,PUG,Pug,,,N,8,,
ny,MALTESE,Maltese,,,,,,
ny,MIX,Mixed/Other,,,,,,
ny,MIX,Mixed/Other,,,F,7,,
ny,MIX,MINATURE PINSCHER X,,,M,8,,
ny,MIX,TERRIER CROSS,,,M,4,,
ny,SHIH TZU,Shih Tzu,,,,,,
ny,DACHSHUND,"Dachshund, Wirehaired, Miniature",,,M,0.83,,
ny,MIX,AMERICAN STAFF X,,,N,3,,
ny,BICHON FRISE,Bichon Frise,,,,,,
ny,GERM SHEPHERD,German Shepherd,,,M,1,,
ny,PIT BULL,Pit Bull,,,,,,
ny,PIT BULL,Pit Bull,,,,,,
ny,MIX,MIXED BREED,,,,,,
ny,MIX,MIXED,,,M,5,,
ny,PIT BULL,Pit Bull,,,,,,
ny,PIT BULL,Pit Bull,,,,,,
ny,CHIHUAHUA,Chihuahua,,,M,0.75,,
ny,PIT BULL,American Pit Bull Terrier/Pit Bull,,,M,2,,
ny,MIX,MIXED BREED,,,M,,,
ny,PIT BULL,American Pit Bull Mix / Pit Bull Mix,,,M,6,,
ny,GERM SHEPHERD,German Shepherd,,,M,3,,
ny,MIX,MIXED BREED,,,,,,
ny,LABRADOR RETR,Labrador Retriever,,,N,5,,
ny,ROTTWEILER,Rottweiler,,,,,,
ny,MIX,SHIH TZU X,,,M,9,,
ny,PIT BULL,CANE CORSO/BLUE NOSED PIT BULLX,,,M,10,,
ny,MIX,POMERANIAN MIX,,,M,0.67,,
ny,NORFOLK TERRIER,Norfolk Terrier,,,,,,
ny,MIX,BORDER COLLIE MIX,,,F,3,,
ny,MIX,Beagle Crossbreed,,,S,4,,
ny,PIT BULL,American Pit Bull Mix / Pit Bull Mix,,,M,2,,
ny,MIX,POODLE MIX,,,N,4,,
ny,MIX,MIXED BREED,,,S,2,,
ny,MIX,Labrador Retriever Crossbreed,,,S,4,,
ny,CHIHUAHUA,Chihuahua,,,N,7,,
ny,PIT BULL,American Pit Bull Terrier/Pit Bull,,,F,2,,
ny,PIT BULL,Pit Bull,,,S,3,,
ny,YORKSHIRE TERR,Yorkshire Terrier,,,F,,,
ny,ROTTWEILER,Rottweiler,,,,,,
ny,PIT BULL,Pit Bull,,,M,3,,
ny,MIX,MINI PINSCHER/POMERANIAN X,,,N,8,,
ny,PIT BULL,Pit Bull,,,F,3,,
ny,POODLE STND,"Poodle, Standard",,,F,5,,
ny,PIT BULL,Pit Bull,,,,,,
ny,MIX,Labradoodle,,,N,8,,
ny,UNKNOWN,ZUCHON,,,N,7,,
ny,COCKER SPAN,Cocker Spaniel,,,M,2,,
ny,MIX,Beagle Crossbreed,,,,,,
ny,SIBERIAN HUSKY,Siberian Husky,,,S,5,,
ny,MIX,MIXED BREED,,,M,3,,
ny,PIT BULL,American Pit Bull Mix / Pit Bull Mix,,,N,4,,
ny,MIX,SHEPHERD/POINTER X,,,N,1,,
ny,BOXER,Boxer,,,,,,
ny,SHIH TZU,Shih Tzu,,,,,,
ny,PIT BULL,American Pit Bull Terrier/Pit Bull,,,,,,
ny,MIX,MIXED BREED,,,N,13,,
ny,MIX,TERRIER MIX,,,M,5,,
ny,GERM SHEPHERD,German Shepherd,,,,,,
ny,PIT BULL,Pit Bull,,,S,2,,
ny,SIBERIAN HUSKY,Siberian Husky,,,M,2,,
ny,PIT BULL,Pit Bull,,,F,0.33,,
ny,LABRADOR RETR,Labrador Retriever,,,M,0.19,,
ny,BEAGLE,Beagle,,,N,7,,
ny,JACK RUSS TERR,Jack Russ,,,,,,
ny,ROTTWEILER,Rottweiler,,,N,4,,
ny,MIX,Labrador Retriever Crossbreed,,,N,2,,
ny,PIT BULL,American Pit Bull Mix / Pit Bull Mix,,,M,3,,
ny,MIX,MIXED BREED,,,F,11,,
ny,MIX,MIXED BREED,,,,9,,
ny,MIX,MIXED BREED,,,F,2,,
ny,MIX,MIXED BREED,,,S,6,,
ny,MALTESE,Maltese,,,F,7,,
ny,LHASA APSO,Lhasa Apso,,,M,1,,
ny,MIX,CORGI-CHIHUAHUA X,,,N,11,,
ny,MIX,YORKIPOO,,,N,9,,
ny,MIX,YORKIPOO,,,M,3,,
ny,MIX,MIXED BREED,,,N,8,,
ny,PIT BULL,Pit Bull,,,,,,
ny,SHIH TZU,Shih Tzu,,,F,13,,
ny,BICHON FRISE,Bichon Frise,,,,,,
ny,PIT BULL,American Pit Bull Terrier/Pit Bull,,,,,,
ny,PIT BULL,American Pit Bull Terrier/Pit Bull,,,,,,
ny,PIT BULL,American Pit Bull Mix / Pit Bull Mix,,,S,4,,
ny,SHIH TZU,Shih Tzu,,,F,2,,
ny,MIX,BICHON / POODLE MIX,,,M,11,,
ny,MALTESE,Maltese,,,N,11,,
ny,MIX,MIXED BREED,,,F,4,,
ny,MIX,MALTESE/ SHIH TZU X,,,M,3,,
ny,MIX,SIBERIAN HUSKY X,,,M,4,,
ny,MIX,MIXED BREED,,,M,10,,
ny,MIX,MIXED BREED,,,M,10,,
ny,MIX,MIXED BREED,,,M,3,,
ny,MIX,MIXED BREED,,,M,3,,
ny,MIX,MIXED BREED,,,M,4,,
ny,MIX,MIXED BREED,,,M,4,,
ny,MIX,MIXED BREED,,,M,2,,
ny,MIX,MIXED BREED,,,M,2,,
ny,AKITA,Akita,,,M,4,27,100
ny,MIX,SHIH TZU X,,,M,3,,
ny,MIX,RAT TERRIER MIX,,,,1,,
ny,MIX,BOSTON TERRIER/CHIHUAHUA,,,S,6,,
ny,MIX,German Shepherd Crossbreed,,,N,3,,
ny,PIT BULL,American Pit Bull Terrier/Pit Bull,,,,,,
ny,MIX,YORKIPOO,,,M,2,,
ny,MIX,MIXED BREED,,,N,3,,
ny,SIBERIAN HUSKY,Siberian Husky,,,N,1,,
ny,SHIH TZU,Shih Tzu,,,N,6,,
ny,PIT BULL,Pit Bull,,,,,,
ny,MALTESE,Maltese,,,S,10,,
ny,MIX,MIXED,,,S,6,,
ny,MIX,Yorkshire Terrier Crossbreed,,,M,6,,
