breed_group,average_height,average_weight,average_lifespan
Affenpinscher,10.5,10,13.5
Afghan Hound,26,55,13.5
Aidi,22.25,52.5,12.5
Airedale Terrier,23,45,12.5
Akbash Dog,30.5,107.5,10
Akita,27,100,11.5
Alaskan Husky,24.5,47.5,12.5
Alaskan Klee Kai,17,19.5,14.5
Alaskan Malamute,25.5,99.5,12
American Bulldog,23.5,92.5,11
American Bully,18,77.5,11
American Cocker Spaniel,14.5,22.5,12
American Eskimo Dog,14,27.5,14
American Foxhound,23.5,67.5,12
American Hairless Terrier,14,14,15
American Leopard Hound,24,57.5,13.5
American Pit Bull Terrier,19.5,52.5,11
American Staffordshire Terrier,18,55,14
American Water Spaniel,16.5,35,12
Anatolian Shepherd Dog,28,125,12
Australian Cattle Dog,18.5,41.5,14
Australian Kelpie,18.5,41.5,11.5
Australian Shepherd,20.5,52.5,13.5
Aust Terrier,10.5,17.5,13
Barbet,21.75,50,13
Basenji,16.5,22.5,13.5
Basset Hound,13.5,51.5,12.5
Beagle,15,26.5,12.5
Bearded Collie,21,50,13
Beauceron,26,87.5,11
Bedlington Terrier,16.5,20,13.5
Belgian Sheepdog-Malinois,24,60,15
Belgian Sheepdog-Tervuren,24,60,13
Bernese Hound,25.25,92.5,8.5
Bichon Frise,10.5,12.5,14.5
Black & Tan Coonhound,24,75,11
Black Mouth Cur,21,67.5,14
Black Russian Terrier,28,111.5,11
Bloodhound,25,99,11
Bluetick Coonhound,24,62.5,11.5
Border Collie,20,41,13.5
Border Terrier,13.5,13.5,13.5
Borzoi,30,80,11.5
Boston Terrier,15.5,18.5,12
Bouvier Des Flandres,25.5,84.5,11
Boykin Spaniel,16,32.5,12.5
Boxer,23,67.5,11
Briard,24.5,77.5,12
Brittany,19,37.5,13
Brussels Griffon,8.5,10,13.5
Bull Terrier,22,52.5,12.5
Bulldog,14.5,49,9
Bullmastiff,25.5,110,8
Cairn Terrier,10.5,15,14
Canaan Dog,21.5,45,13.5
Cane Corso,25.5,95,10.5
Cardigan Welsh Corgi,11.5,31.5,13.5
Carolina Dog,20.5,37.5,13.5
Catahoula Leopard Dog,23,72.5,12
Cavalier King Charles Spaniel,12.5,15.5,13.5
Chesa Bay Retr,23.5,67.5,11.5
Chihuahua,7.5,4,15
Chinese Crested,11,9,15.5
Chinese Shar-Pei,18.5,50,10
Chow Chow,20,57.5,10
Clumber Spaniel,18.5,70,11
Collie Smooth,23,60,13
Coton de Tulear,10,11.5,17
Curly Coated Retriever,25,77.5,11
"Dachshund, Miniature",9.5,6,14
"Dachshund, Standard",13,22,14
Dalmatian,21.5,58,12
Dandie Dinmont Terrier,9.5,21,13.5
Danish-Swedish Farmdog,13.5,17.5,12
Doberman Pinscher,26.5,80,11
Dogo Argentino,25,90,12
Dutch Shepherd,23.75,58.5,12.5
English Bulldog,14.5,49,9
Eng Cocker Span,16.5,29.5,13
English Coonhound,23.5,57.5,11.5
English Foxhound,24.5,55,11.5
English Setter,24.5,62.5,12
English Shepherd,21,52.5,0
English Springer Spaniel,19.5,42.5,13
English Toy Spaniel,10,11,11
Field Spaniel,17,42.5,12.5
Finnish Spitz,17.5,25,14
Flat Coated Retriever,23.5,70,9
French Bulldog,12,22,11
German Longhaired Pointer,25,67.5,13
German Pinscher,18.5,35,13
German Shepherd Dog,23.5,69,13
German Shorthaired Pointer,23.5,57.5,11
German Wh Point,22.5,60,15
Giant Schnauzer,25.5,79.5,13.5
Glen of Imaal Terrier,13.25,36,12.5
Golden Retriever,22,65,11
Gordon Setter,25,62.5,12.5
Great Dane,31,149.5,8.5
Great Pyrenees,28.5,100,12.5
Greater Swiss Mountain Dog,26,112.5,9.5
Greyhound,28.5,65,11.5
Harrier,20,52.5,13.5
Havanese,10,10.5,15
Ibizan Hound,25.5,47.5,12.5
Irish Setter,24,62.5,13.5
Irish Terrier,18.5,26,14
Irish Water Spaniel,22.5,56.5,12.5
Irish Wolfhound,30,107,7
Italian Greyhound,13.5,10.5,14.5
Jack Russell Terrier,11,13.5,13
Japanese Chin,10,9.5,11
Kangal,30,120,13.5
Keeshond,18.5,50.5,13.5
Kerry Blue Terrier,18.5,39,13.5
Komondor,26.5,107.5,11
Kuvasz,28,92.5,11
Labrador Retriever,23,67.5,11
Lakeland Terrier,14,16.5,13.5
Lhasa Apso,10.5,15,13.5
Maltese,8.5,6.5,13.5
Manchester Terrier (Standard),15.5,17,16
Manchester Terrier (Toy),11,9,16
Mastiff,28,175,8
Miniature Bull Terrier,12,23,12
Miniature Pinscher,11.5,10.5,14
Neapolitan Mastiff,27,132,8
Nederlandse Kooikerhondje,15.5,25,13.5
Newfoundland,27,126,9.5
Norfolk Terrier,9.5,11,14
Norrbottenspets,17.4,25,15.5
Norwegian Elkhound,20,51.5,13.5
Nova Scotia Duck Tolling Retriever,19,43,13
Old English Sheepdog,22.5,80,11
Olde English Bulldogge,17.5,65,12.5
Otterhound,25.5,102.5,11.5
Papillon,9.5,8,15
Parson Russell Terrier,13.5,15,14
Patterdale Terrier,12.5,13.5,12
Pekingese,9,10,13
Pembroke Welsh Corgi,11,25,12.5
Perro de Presa Canario,24,113.5,10
Peruvian Inca Orchid,17.75,31.75,13
Petit Basset Griffon Vendeen,14,37.5,13
Pharaoh Hound,23,50,13
Pit Bull,20,45,11
Plott Hound,23.5,57.5,13
Pointer,25.5,59.5,14.5
Polish Lowland Sheepdog,18.5,40,13
Pomeranian,9.5,5,14
Poodle Toy,10,6,14
"Poodle, Miniature",12.5,24.5,14
"Poodle, Standard",20,55,14
Portuguese Water Dog,20,47.5,12
Pug,12,16,14
Puli,16,28.5,12.5
Pumi,16.75,25,12.5
Rat Terrier,14,22.5,15
Redbone Coonhound,24,57.5,13.5
Rhodesian Ridgeback,25.5,75,12
Rottweiler,24.5,112.5,9.5
Saint Bernard,30.5,160,9
Saluki,25.5,52.5,13.5
Samoyed,21.5,50,13
Schapendoes,18,40.5,13.5
Schipperke,11.5,14.5,13
Schnauzer,19.5,39,14.5
Scottish Deerhound,29.5,92.5,9.5
Scottish Terrier,10.5,20.5,13
Sealyham Terrier,11,21.5,13
Shetland Sheepdog,14.5,17,13
Shiba Inu,15,20,14.5
Shih Tzu,9.5,13.5,14
Siberian Husky,21.5,47.5,13
Silky Terrier,9.5,9,14
Skye Terrier,8.5,29,13
Smooth Fox Terrier,15.5,16.5,13.5
Spinone Italiano,25,74,11
Staffordshire Bull Terrier,15,31,13
Sussex Spaniel,14.5,43,14
Tibetan Mastiff,27,115,11
Tibetan Spaniel,10,12,13.5
Tibetan Terr,15.5,24,15.5
Toy Fox Terrier,10,5.75,14
Treeing Tennessee Brindle,20,40,11
Treeing Walker Coonhound,23.5,60,12.5
Vizsla,23,55,13
Weimaraner,25,72.5,11.5
Welsh Springer Spaniel,18,45,13.5
Welsh Terrier,15,20.5,13.5
West Highland White Terrier,11,18.5,14
"Wheaten Terrier, Soft-Coated",18.5,35,13
Whippet,19.5,32.5,13.5
Wire Fox Terrier,15.5,16.5,13.5
Wirehaired Pointing Griffon,22,52.5,13.5
Yorkshire Terrier,7,5.5,13
