breed_group,primary_breed,age,modified_age,gender,multi_dog,bad_data
UNKNOWN,UNKNOWN,U,U,U,F,T
UNKNOWN,UNKNOWN,U,U,U,F,T
PIT MIX,Pit Bull,U,U,U,F,F
MIX,Mixed/Other,4,4,M,F,F
PIT MIX,Pit Bull,U,U,U,F,F
BASENJI,BASENJI,4Y,4,M,F,F
UNKNOWN,UNKNOWN,U,U,U,F,T
PIT MIX,Pit Bull,U,U,U,F,F
PIT MIX,American Pit Bull Mix / Pit Bull Mix,5Y,5,M,F,F
MIX,MIXED,3Y,3,F,F,F
,,U,U,U,F,T
MIX,Yorkshire Terrier Crossbreed,7,7,N,F,F
GREAT DANE,Great Dane,6,6,S,F,F
PIT MIX,Pit Bull,U,U,U,F,F
MIX,Labradoodle,5,5,S,F,F
UNKNOWN,ZUCHON,4,4,M,F,F
PIT MIX,American Pit Bull Terrier/Pit Bull,U,U,U,F,F
,,U,U,U,F,T
MIX,MIXED,7,7,M,F,F
PIT MIX,American Pit Bull Terrier/Pit Bull,U,U,U,F,F
POODLE MIN,"Poodle, Miniature",8,8,N,F,F
PIT MIX,American Pit Bull Terrier/Pit Bull,11,11,S,F,F
UNKNOWN,UNKNOWN,U,U,U,F,T
UNKNOWN,UNKNOWN,U,U,U,F,T
UNKNOWN,UNKNOWN,U,U,U,F,T
PEKINGESE,Pekingese,3,3,N,F,F
MIX,POODLE X,13Y,13,N,F,F
MIX,Labrador Retriever Crossbreed,11,11,N,F,F
PIT MIX,American Pit Bull Terrier/Pit Bull,2,2,S,F,F
DACHSHUND,Dachshund Smooth Coat,2,2,M,F,F
PIT MIX,Pit Bull,U,U,U,F,F
,,2,2,N,F,T
MIX,MIXED,U,U,F,F,F
MIX,MIXED,U,U,F,F,F
CHIHUAHUA,Chihuahua,4,4,M,F,F
PIT MIX,Pit Bull,U,U,U,F,F
YORKSHIRE TERR,Yorkshire Terrier,U,U,U,F,F
SHIH TZU,Shih Tzu,U,U,U,F,F
PUG,Pug,8,8,N,F,F
MALTESE,Maltese,U,U,U,F,F
MIX,Mixed/Other,U,U,U,F,F
