breed_group,primary_breed,bite_code,bite_severity,gender
AFFENPINSCHER,AFFENPINSCHER,0,SNGLNIP,S
AFFENPINSCHER,AFFENPINSCHER,1,SNGLB,U
AFGHAN HOUND,AFGHAN HOUND,1,SNGLB,N
AIREDALE TERR,AIREDALE TERR,0,SNGLNIP,N
AIREDALE TERR,AIREDALE TERR,1,SNGLB,N
AIREDALE TERR,AIREDALE TERR,1,SNGLB,N
AIREDALE TERR,AIREDALE TERR,1,SNGLB,N
AIREDALE TERR,AIREDALE TERR,1,SNGLB,N
AIREDALE TERR,AIREDALE TERR,1,SNGLB,N
AIREDALE TERR,AIREDALE TERR,1,SNGLB,U
AIREDALE TERR,AIREDALE TERR,1,SNGLB,N
AIREDALE TERR,AIREDALE TERR,1,SNGLB,N
AIREDALE TERR,AIREDALE TERR,9,UNKNOWN,M
AIREDALE TERR,AIREDALE TERR,9,UNKNOWN,N
AKITA,AKITA,0,SNGLNIP,F
AKITA,AKITA,0,SNGLNIP,N
AKITA,AKITA,1,SNGLB,N
AKITA,AKITA,1,SNGLB,M
AKITA,AKITA,2,PROLONGB,N
AKITA,AKITA,3,MULTIB,M
AKITA,AKITA,3,MULTIB,F
ALASK KLEE KAI,ALASK KLEE KAI,0,SNGLNIP,S
ALASK KLEE KAI,ALASK KLEE KAI,1,SNGLB,N
ALASK MALAMUTE,ALASK MALAMUTE,0,SNGLNIP,U
ALASK MALAMUTE,ALASK MALAMUTE,1,SNGLB,S
ALASK MALAMUTE,ALASK MALAMUTE,1,SNGLB,U
ALASK MALAMUTE,ALASK MALAMUTE,1,SNGLB,N
ALASK MALAMUTE,ALASK MALAMUTE,2,PROLONGB,N
ALASK MALAMUTE,ALASK MALAMUTE,3,MULTIB,S
ALASK MALAMUTE,ALASK MALAMUTE,3,MULTIB,S
ALASKAN HUSKY,ALASKAN HUSKY,0,SNGLNIP,M
ALASKAN HUSKY,ALASKAN HUSKY,0,SNGLNIP,M
ALASKAN HUSKY,ALASKAN HUSKY,0,SNGLNIP,M
ALASKAN HUSKY,ALASKAN HUSKY,0,SNGLNIP,M
ALASKAN HUSKY,ALASKAN HUSKY,0,SNGLNIP,N
ALASKAN HUSKY,ALASKAN HUSKY,0,SNGLNIP,U
ALASKAN HUSKY,ALASKAN HUSKY,0,SNGLNIP,U
ALASKAN HUSKY,ALASKAN HUSKY,1,SNGLB,M
ALASKAN HUSKY,ALASKAN HUSKY,1,SNGLB,M
ALASKAN HUSKY,ALASKAN HUSKY,1,SNGLB,S
ALASKAN HUSKY,ALASKAN HUSKY,1,SNGLB,S
ALASKAN HUSKY,ALASKAN HUSKY,1,SNGLB,S
ALASKAN HUSKY,ALASKAN HUSKY,1,SNGLB,U
ALASKAN HUSKY,ALASKAN HUSKY,1,SNGLB,U
ALASKAN HUSKY,ALASKAN HUSKY,1,SNGLB,N
ALASKAN HUSKY,ALASKAN HUSKY,1,SNGLB,N
ALASKAN HUSKY,ALASKAN HUSKY,1,SNGLB,U
ALASKAN HUSKY,ALASKAN HUSKY,2,PROLONGB,M
ALASKAN HUSKY,ALASKAN HUSKY,2,PROLONGB,M
ALASKAN HUSKY,ALASKAN HUSKY,2,PROLONGB,N
ALASKAN HUSKY,ALASKAN HUSKY,2,PROLONGB,U
ALASKAN HUSKY,ALASKAN HUSKY,2,PROLONGB,U
ALASKAN HUSKY,ALASKAN HUSKY,2,PROLONGB,M
ALASKAN HUSKY,ALASKAN HUSKY,3,MULTIB,S
ALASKAN HUSKY,ALASKAN HUSKY,3,MULTIB,U
ALASKAN HUSKY,ALASKAN HUSKY,3,MULTIB,U
ALASKAN HUSKY,ALASKAN HUSKY,4,MAULING,F
ALASKAN HUSKY,ALASKAN HUSKY,4,MAULING,M
ALASKAN HUSKY,ALASKAN HUSKY,9,UNKNOWN,N
